NeU Anaritics: NX (C) NeU Corporation. 2020. All rights reserved
Data format version 1.0
Bluetooth Address,C0:84:40:37:5D:42
""
Device time,Headset time(sec),HbT change(left subtracted),HbT change(right subtracted),Estimated pulse rate,HbT change(left SD1cm),HbT change(left SD3cm),HbT change(right SD1cm),HbT change(right SD3cm),saturation(left SD1cm),saturation(left SD3cm),saturation(right SD1cm),saturation(right SD3cm),noise detection flag,Mark,Accerelo-X,Accerelo-Y,Accerelo-Z,Gyro-X,Gyro-Y,Gyro-Z,Button
2020-05-10 21:33:29 +0900,26.700000000000003,-0.007810000000000095,-44.142999999999994,99.1,-0.07857000000000003,-0.08638000000000012,41.5888,-2.5541999999999945,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-0.12207,0.793457,10.2539,
2020-05-10 21:33:29 +0900,26.8,0.00693999999999928,-44.142999999999994,99.2,-0.07020999999999944,-0.06327000000000016,41.5888,-2.5541999999999945,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,0.488281,-0.0610352,2.13623,
2020-05-10 21:33:29 +0900,26.900000000000002,0.0333799999999993,-44.142999999999994,99.2,-0.053449999999999775,-0.020070000000000476,41.5888,-2.5541999999999945,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-0.915527,-2.62451,-5.43213,
2020-05-10 21:33:30 +0900,27.0,0.025099999999999234,-44.142999999999994,99.2,-0.06182999999999961,-0.03673000000000037,41.5888,-2.5541999999999945,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-0.0610352,-3.72314,-13.3667,
2020-05-10 21:33:30 +0900,27.1,0.010249999999999204,-43.02719999999999,99.5,-0.07020999999999944,-0.059960000000000235,41.5888,-1.4383999999999943,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,1.28174,-1.95312,-10.5591,
2020-05-10 21:33:30 +0900,27.200000000000003,-0.015410000000000146,-43.02719999999999,99.6,-0.08413000000000004,-0.09954000000000018,41.5888,-1.4383999999999943,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-0.671387,-0.0610352,-0.671387,
2020-05-10 21:33:30 +0900,27.3,-0.04502000000000006,-43.02719999999999,99.8,-0.10355999999999987,-0.14857999999999993,41.5888,-1.4383999999999943,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-0.671387,-0.0610352,-0.671387,
2020-05-10 21:33:30 +0900,27.400000000000002,-0.026250000000000107,-43.02719999999999,100.0,-0.08969000000000005,-0.11594000000000015,41.5888,-1.4383999999999943,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-0.671387,1.2207,5.31006,
2020-05-10 21:33:30 +0900,27.5,0.006409999999999805,-43.02719999999999,100.0,-0.07298999999999989,-0.06658000000000008,41.5888,-1.4383999999999943,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,0.488281,1.64795,11.1694,
2020-05-10 21:33:30 +0900,27.6,0.012509999999999799,-43.02719999999999,99.9,-0.07577999999999996,-0.06327000000000016,41.5888,-1.4383999999999943,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,0.854492,1.58691,13.1226,
2020-05-10 21:33:30 +0900,27.700000000000003,0.014769999999999506,-44.142999999999994,100.0,-0.08134999999999959,-0.06658000000000008,41.5888,-2.5541999999999945,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,1.83105,1.70898,9.94873,
2020-05-10 21:33:30 +0900,27.8,0.006089999999999485,-44.142999999999994,100.1,-0.09246999999999961,-0.08638000000000012,41.5888,-2.5541999999999945,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-1.46484,-0.427246,1.46484,
2020-05-10 21:33:30 +0900,27.900000000000002,-0.013390000000000235,-43.02719999999999,100.0,-0.10909999999999975,-0.12248999999999999,41.5888,-1.4383999999999943,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-2.38037,-3.2959,-9.27734,
2020-05-10 21:33:31 +0900,28.0,-0.004300000000000637,-43.02719999999999,100.0,-0.09523999999999955,-0.09954000000000018,41.5888,-1.4383999999999943,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-0.0610352,-3.2959,-15.564,
2020-05-10 21:33:31 +0900,28.1,9.999999999621423e-06,-43.02719999999999,100.0,-0.08969000000000005,-0.08968000000000043,41.5888,-1.4383999999999943,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-0.976562,-3.90625,-11.2915,
2020-05-10 21:33:31 +0900,28.200000000000003,-0.015150000000000219,-43.02719999999999,100.0,-0.10078999999999994,-0.11594000000000015,41.5888,-1.4383999999999943,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-1.34277,-1.46484,-3.479,
2020-05-10 21:33:31 +0900,28.3,-0.025460000000000704,-43.02719999999999,100.1,-0.10355999999999987,-0.12902000000000058,41.5888,-1.4383999999999943,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,0.0610352,0.610352,5.00488,
2020-05-10 21:33:31 +0900,28.400000000000002,-0.02695000000000025,-41.5888,99.9,-0.11186000000000007,-0.13881000000000032,41.5888,0.0,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,1.83105,1.70898,10.0098,
2020-05-10 21:33:31 +0900,28.5,-0.037690000000001334,-41.5888,99.9,-0.11738999999999944,-0.15508000000000077,41.5888,0.0,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,0.976562,2.44141,10.9863,
2020-05-10 21:33:31 +0900,28.6,-0.020200000000000884,-43.02719999999999,99.9,-0.09246999999999961,-0.11267000000000049,41.5888,-1.4383999999999943,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,0.488281,1.58691,6.46973,
2020-05-10 21:33:31 +0900,28.700000000000003,-0.021480000000000388,-44.142999999999994,99.8,-0.08134999999999959,-0.10282999999999998,41.5888,-2.5541999999999945,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-0.183105,-0.732422,0.732422,
2020-05-10 21:33:31 +0900,28.8,-0.0411400000000004,-43.02719999999999,99.8,-0.08134999999999959,-0.12248999999999999,41.5888,-1.4383999999999943,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-0.610352,-3.05176,-11.8408,
2020-05-10 21:33:31 +0900,28.900000000000002,-0.061670000000000336,-44.142999999999994,99.9,-0.0869099999999996,-0.14857999999999993,41.5888,-2.5541999999999945,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-1.52588,-3.90625,-16.3574,
2020-05-10 21:33:31 +0900,29.0,-0.08990000000000009,-45.05459999999999,99.9,-0.10078999999999994,-0.19069000000000003,41.5888,-3.4657999999999944,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-1.70898,-2.44141,-10.1929,
2020-05-10 21:33:32 +0900,29.1,-0.10600000000000076,-44.142999999999994,99.8,-0.10078999999999994,-0.2067900000000007,41.5888,-2.5541999999999945,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,-0.915527,-1.95312,-0.427246,
2020-05-10 21:33:32 +0900,29.200000000000003,-0.0783700000000005,-44.142999999999994,99.8,-0.07020999999999944,-0.14857999999999993,41.5888,-2.5541999999999945,0,0,0,0,1,285:FRAME_パー.png,0.0,0.0,0.0,0.183105,-0.549316,6.7749,
